Scenario_no,ScenarioName,status,CM_filename,NMF_filename,SMC_filename,ITN_filename,ANC_ITN_filename,EPI_ITN_filename,CHW_ITN_annual_filename,CHW_ITN_filename,IRS_filename,IPTp_string,IPTi,future_projection_flag,IRS_admins_only,IPTi_admins_only,plot_order,description
1,BDI_projection_64pyr,queued,interventions_projections/cm_bau,nmf_rates,,interventions_projections/llin_mass_bau,interventions_projections/llin_anc_bau,interventions_projections/llin_epi_bau,,,interventions_projections/irs_bau,curCoverage,FALSE,TRUE,FALSE,FALSE,,"BAU (all pyrethroid nets, 64% permethrin mortality)"
2,BDI_projection_40pyr,queued,interventions_projections/cm_bau,nmf_rates,,interventions_projections/llin_mass_04pyr,interventions_projections/llin_anc_04pyr,interventions_projections/llin_epi_04pyr,,,interventions_projections/irs_bau,curCoverage,FALSE,TRUE,FALSE,FALSE,,"BAU (all pyrethroid nets, 40% permethrin mortality)"
3,BDI_projection_64PBO,later,interventions_projections/cm_bau,nmf_rates,,interventions_projections/llin_mass_PBO,interventions_projections/llin_anc_PBO,interventions_projections/llin_epi_PBO,,,interventions_projections/irs_bau,curCoverage,FALSE,TRUE,FALSE,FALSE,,"same as BAU and same as GF plan except that all districts get PBO nets, 64% permethrin mortality"
4,BDI_projection_40PBO,later,interventions_projections/cm_bau,nmf_rates,,interventions_projections/llin_mass_04PBO,interventions_projections/llin_anc_04PBO,interventions_projections/llin_epi_04PBO,,,interventions_projections/irs_bau,curCoverage,FALSE,TRUE,FALSE,FALSE,,"same as BAU and same as GF plan except that all districts get PBO nets, 40% permethrin mortality"
5,BDI_projection_wLLIN_64pyr_61IRS,later,interventions_projections/cm_bau,nmf_rates,,interventions_projections/llin_mass_bau,interventions_projections/llin_anc_bau,interventions_projections/llin_epi_bau,,,interventions_projections/irs_bau,curCoverage,FALSE,TRUE,TRUE,FALSE,,"IRS districts only: 61% IRS coverage, 64% LLIN permethrin mortality"
6,BDI_projection_wLLIN_40pyr_61IRS,later,interventions_projections/cm_bau,nmf_rates,,interventions_projections/llin_mass_04pyr,interventions_projections/llin_anc_04pyr,interventions_projections/llin_epi_04pyr,,,interventions_projections/irs_bau,curCoverage,FALSE,TRUE,TRUE,FALSE,,"IRS districts only: 61% IRS coverage, 40% LLIN permethrin mortality"
7,BDI_projection_wLLIN_64pyr_80IRS,later,interventions_projections/cm_bau,nmf_rates,,interventions_projections/llin_mass_bau,interventions_projections/llin_anc_bau,interventions_projections/llin_epi_bau,,,interventions_projections/irs_80cov,curCoverage,FALSE,TRUE,TRUE,FALSE,,"IRS districts only: 80% IRS coverage, 64% LLIN permethrin mortality"
8,BDI_projection_wLLIN_40pyr_80IRS,later,interventions_projections/cm_bau,nmf_rates,,interventions_projections/llin_mass_04pyr,interventions_projections/llin_anc_04pyr,interventions_projections/llin_epi_04pyr,,,interventions_projections/irs_80cov,curCoverage,FALSE,TRUE,TRUE,FALSE,,"IRS districts only: 80% IRS coverage, 40% LLIN permethrin mortality"
9,BDI_projection_woLLIN_61IRS,later,interventions_projections/cm_bau,nmf_rates,,,interventions_projections/llin_anc_bau,interventions_projections/llin_epi_bau,,,interventions_projections/irs_bau,curCoverage,FALSE,TRUE,TRUE,FALSE,,"IRS districts only: 61% IRS coverage, no LLINs"
10,BDI_projection_woLLIN_80IRS,later,interventions_projections/cm_bau,nmf_rates,,,interventions_projections/llin_anc_bau,interventions_projections/llin_epi_bau,,,interventions_projections/irs_80cov,curCoverage,FALSE,TRUE,TRUE,FALSE,,"IRS districts only: 80% IRS coverage, no LLINs"
